id,城市,市区,标题,户型,面积,面积数值,方位,楼层,时间,所属小区,所属区域,房源链接,总价,总价数值,均价,均价数值,房龄
11,fuzhou,仓山,S-M万达商业围绕！低密度洋房！户型全明三开间朝南精装修现房,3 室 2 厅 2 卫,88㎡,88.00,南北,中层(共16层),2025年建造,榕发北源云筑,仓山 连江南路 北园路377号,https://fz.anjuke.com/prop/view/S4605106061487113?auction=221&hpType=27&entry=102&position=10&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_10&from=from_esf_List_screen&index=10,188万,188.00,21364元/㎡,21364.00,2年内
12,fuzhou,仓山,白湖亭地铁口！  广场万达广场围绕！低密度洋房！精装拎包入住,3 室 2 厅 2 卫,88㎡,88.00,南北,中层(共16层),2025年建造,榕发北源云筑,仓山 连江南路 北园路377号,https://fz.anjuke.com/prop/view/S4605106060403714?auction=221&hpType=27&entry=102&position=11&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_11&from=from_esf_List_screen&index=11,188万,188.00,21364元/㎡,21364.00,2年内
13,fuzhou,晋安,新东区地铁二号线五里亭站口 次新社区 电梯高层 东端头三房！,3 室 2 厅 1 卫,90㎡,90.00,南北,高层(共33层),2024年建造,锦鸿佳园,晋安 福马路 七贤路2号,https://fz.anjuke.com/prop/view/S4484995257541632?auction=221&hpType=27&entry=102&position=12&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_12&from=from_esf_List_screen&index=12,148万,148.00,16445元/㎡,16445.00,2年内
14,fuzhou,晋安,刚需婚房现房拎包入住福州火车站 建总云璟未来 三房两卫,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共27层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626398763228169?auction=221&hpType=27&entry=102&position=13&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_13&from=from_esf_List_screen&index=13,195万,195.00,21911元/㎡,21911.00,2年内
15,fuzhou,晋安,云璟未来刚需三房双卫 南北通透 有电梯 低密度社区 商品住宅,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共27层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626904007990285?auction=221&hpType=27&entry=102&position=14&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_14&from=from_esf_List_screen&index=14,192万,192.00,21574元/㎡,21574.00,2年内
16,fuzhou,仓山,海月江南价格可以谈 正规商品房 精装可拎包入住 电梯房,3 室 2 厅 2 卫,97㎡,97.00,南北,中层(共10层),2024年建造,海月江南,仓山 南江滨西大道 北浦巷2号,https://fz.anjuke.com/prop/view/S4125960806129672?auction=221&hpType=27&entry=102&position=15&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_15&from=from_esf_List_screen&index=15,230万,230.00,23712元/㎡,23712.00,2年内
17,fuzhou,台江,证已经办好111111,2 室 1 厅 1 卫,74㎡,74.00,南北,中层(共34层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4554156617391110?auction=221&hpType=27&entry=102&position=16&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_16&from=from_esf_List_screen&index=16,130万,130.00,17568元/㎡,17568.00,2年内
18,fuzhou,台江,万宝商圈，望熙雅筑B区，电梯中层，  位置，南北通透，万象城,3 室 2 厅 2 卫,105㎡,105.00,南北,中层(共31层),2026年建造,榕发望熙雅筑B区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4598346376125450?auction=221&hpType=27&entry=102&position=17&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_17&from=from_esf_List_screen&index=17,235万,235.00,22381元/㎡,22381.00,2年内
19,fuzhou,仓山,二手房，东边户89，白湖亭地铁口，榕发北源云筑，  即住现房,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共16层),2026年建造,榕发北源云筑,仓山 连江南路 北园路377号,https://fz.anjuke.com/prop/view/S4605187004539912?auction=221&hpType=27&entry=102&position=18&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_18&from=from_esf_List_screen&index=18,215万,215.00,24158元/㎡,24158.00,2年内
20,fuzhou,晋安,可大谈  和颂精装小三房  好楼层 电梯房 低容积 次新房,3 室 2 厅 2 卫,83㎡,83.00,南北,高层(共18层),2025年建造,国贸保利和颂锦原,晋安 五四北 坂中路,https://fz.anjuke.com/prop/view/S4255570064515079?auction=221&hpType=27&entry=102&position=19&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_19&from=from_esf_List_screen&index=19,180.9万,180.90,21796元/㎡,21796.00,2年内
21,fuzhou,仓山,龙湖盛天景粼天著(二期) 商品房 精装修 加产权车位,3 室 2 厅 1 卫,79㎡,79.00,南,高层(共11层),2024年建造,龙湖盛天景粼天著(二期),仓山 火车南站 燕山三路11号,https://fz.anjuke.com/prop/view/S4185017411218441?auction=221&hpType=27&entry=102&position=20&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_20&from=from_esf_List_screen&index=20,108万,108.00,13671元/㎡,13671.00,2年内
22,fuzhou,仓山,则徐大道 临地铁 电梯房 南北通透 双卫生间 出行方便,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共13层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4630662445210625?auction=221&hpType=27&entry=102&position=21&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_21&from=from_esf_List_screen&index=21,185万,185.00,20787元/㎡,20787.00,2年内
23,fuzhou,仓山,急卖装修好 南北通透 纯商品房 三房两卫 地铁口   旁,3 室 2 厅 2 卫,88㎡,88.00,南北,低层(共15层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4362999897251846?auction=221&hpType=27&entry=102&position=22&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_22&from=from_esf_List_screen&index=22,179万,179.00,20341元/㎡,20341.00,2年内
24,fuzhou,晋安,近鼓楼刚需婚房现房福州火车站 建总云璟未来 三房四房,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共27层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626394063281161?auction=221&hpType=27&entry=102&position=23&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_23&from=from_esf_List_screen&index=23,190万,190.00,21349元/㎡,21349.00,2年内
25,fuzhou,晋安,新报！急售，精装未入住，电梯端头3房，国贸和颂锦原，建发鲁能,3 室 2 厅 2 卫,95㎡,95.00,南北,中层(共18层),2025年建造,国贸保利和颂锦原,晋安 五四北 坂中路,https://fz.anjuke.com/prop/view/S4528649668748290?auction=221&hpType=27&entry=102&position=24&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_24&from=from_esf_List_screen&index=24,210万,210.00,22106元/㎡,22106.00,2年内
26,fuzhou,仓山,左海望悦 新小区 精装三房 地铁口 二环内 配套成熟,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共15层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4586689160932366?auction=221&hpType=27&entry=102&position=25&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_25&from=from_esf_List_screen&index=25,185万,185.00,20787元/㎡,20787.00,2年内
27,fuzhou,晋安,火车站地铁小三居南北通透住宅心意全明设计,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共27层),2025年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4616743358311430?auction=221&hpType=27&entry=102&position=26&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_26&from=from_esf_List_screen&index=26,188万,188.00,21124元/㎡,21124.00,2年内
28,fuzhou,晋安,五四北 临地铁 中间楼层 正规商品房 次新小区 精装修,3 室 2 厅 2 卫,105.16㎡,105.16,南北,中层(共21层),2024年建造,新榕金岚秀山,晋安 五四北 下柳路158号,https://fz.anjuke.com/prop/view/S3532531844357133?auction=221&hpType=27&entry=102&position=27&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_27&from=from_esf_List_screen&index=27,180万,180.00,17117元/㎡,17117.00,2年内
29,fuzhou,台江,榕发望熙雅筑A区 双卫 次新房 商圈成熟 交通便捷 临地铁,4 室 2 厅 2 卫,120.94㎡,120.94,南北,中层(共28层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4530436526644226?auction=221&hpType=27&entry=102&position=28&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_28&from=from_esf_List_screen&index=28,248万,248.00,20507元/㎡,20507.00,2年内
30,fuzhou,仓山,左海望悦 购物方便 交通便利 带电梯 次新小区 正规商品房,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共13层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4630666825571343?auction=221&hpType=27&entry=102&position=29&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_29&from=from_esf_List_screen&index=29,185万,185.00,20787元/㎡,20787.00,2年内
31,fuzhou,仓山,左海望悦 精装三房 新小区 地铁口 二环内 配套成熟,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共15层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4568501215210505?auction=221&hpType=27&entry=102&position=30&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_30&from=from_esf_List_screen&index=30,200万,200.00,22472元/㎡,22472.00,2年内
32,fuzhou,晋安,急售福州火车站 建总云璟未来 三房四房 婚房现房拎包入住,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共27层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626387301297152?auction=221&hpType=27&entry=102&position=31&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_31&from=from_esf_List_screen&index=31,188.8万,188.80,21214元/㎡,21214.00,2年内
33,fuzhou,晋安,婚房现房拎包入住福州火车站 建总云璟未来 三房四房,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共27层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626390696895494?auction=221&hpType=27&entry=102&position=32&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_32&from=from_esf_List_screen&index=32,190万,190.00,21349元/㎡,21349.00,2年内
34,fuzhou,晋安,火车北站双地铁口送装修，近商业，低密社区，五四路旁，豪宅配置,3 室 2 厅 2 卫,88.64㎡,88.64,南北,高层(共26层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4625200125090820?auction=221&hpType=27&entry=102&position=33&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_33&from=from_esf_List_screen&index=33,187万,187.00,21097元/㎡,21097.00,2年内
35,fuzhou,台江,望熙雅筑A区 2室1厅1卫,2 室 1 厅 1 卫,60㎡,60.00,南,高层(共27层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4496200343821313?auction=221&hpType=27&entry=102&position=34&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_34&from=from_esf_List_screen&index=34,130万,130.00,21667元/㎡,21667.00,2年内
36,fuzhou,晋安,保利云上，通透三房！高层视野无遮挡，配套齐全,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共26层),2024年建造,保利云上,晋安 鼓山 福马路,https://fz.anjuke.com/prop/view/S4553111577043974?auction=221&hpType=27&entry=102&position=35&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_35&from=from_esf_List_screen&index=35,178万,178.00,20000元/㎡,20000.00,2年内
37,fuzhou,晋安,保利云上 南北通透 正规商品房 双卫格局 小三居 近地铁,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共26层),2024年建造,保利云上,晋安 鼓山 福马路,https://fz.anjuke.com/prop/view/S4380430004644879?auction=221&hpType=27&entry=102&position=36&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_36&from=from_esf_List_screen&index=36,178万,178.00,20000元/㎡,20000.00,2年内
38,fuzhou,晋安,泰禾旁，晋安湖公园，国企现房，3 层高，双阳台，全明端头户型,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共20层),2024年建造,首开香颂,晋安 前横路 湖重北路17号,https://fz.anjuke.com/prop/view/S3236759022018570?auction=221&hpType=27&entry=102&position=37&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_37&from=from_esf_List_screen&index=37,182万,182.00,20450元/㎡,20450.00,2年内
39,fuzhou,晋安,泰禾旁，晋安湖公园，国企现房，3 层高，双阳台，全明端头户型,3 室 2 厅 2 卫,88.53㎡,88.53,南北,中层(共20层),2024年建造,首开香颂,晋安 前横路 湖重北路17号,https://fz.anjuke.com/prop/view/S3239059308437513?auction=221&hpType=27&entry=102&position=38&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_38&from=from_esf_List_screen&index=38,185万,185.00,20897元/㎡,20897.00,2年内
40,fuzhou,晋安,26年新社区 送装修 抬板社区 近鼓楼 地铁口,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4627985118653445?auction=221&hpType=27&entry=102&position=39&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_39&from=from_esf_List_screen&index=39,187万,187.00,21012元/㎡,21012.00,2年内
41,fuzhou,晋安,26年新社区 送装修 抬板社区 近鼓楼 地铁口,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4627979954023429?auction=221&hpType=27&entry=102&position=40&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_40&from=from_esf_List_screen&index=40,187万,187.00,21012元/㎡,21012.00,2年内
42,fuzhou,晋安,中海品质住宅，晋安湖旁，低密次新社区，四号线地铁口，业主急售,3 室 2 厅 2 卫,100㎡,100.00,南北,高层(共20层),2024年建造,中海叁号院B区,晋安 前横路 鱼山路3号,https://fz.anjuke.com/prop/view/S4569722280127488?auction=221&hpType=27&entry=102&position=41&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_41&from=from_esf_List_screen&index=41,235万,235.00,23500元/㎡,23500.00,2年内
43,fuzhou,台江,榕发望熙雅筑B区 南北通透 双卫格局 交通便利 新小区,3 室 2 厅 2 卫,105㎡,105.00,南北,低层(共31层),2025年建造,榕发望熙雅筑B区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4606879017069581?auction=221&hpType=27&entry=102&position=42&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_42&from=from_esf_List_screen&index=42,228万,228.00,21715元/㎡,21715.00,2年内
44,fuzhou,台江,主营楼盘 榕发望熙雅筑 B8 头排楼栋 105平 东端头户型,3 室 2 厅 2 卫,105㎡,105.00,南北,低层(共31层),2026年建造,榕发望熙雅筑B区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4534555661999109?auction=221&hpType=27&entry=102&position=43&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_43&from=from_esf_List_screen&index=43,230万,230.00,21905元/㎡,21905.00,2年内
45,fuzhou,晋安,东二环 4号线横屿地铁口 装修好 次新房 出行方便,3 室 2 厅 1 卫,90㎡,90.00,南北,中层(共24层),2024年建造,联发臻榕府,晋安 前横路 玉井路88号,https://fz.anjuke.com/prop/view/S4378859267890183?auction=221&hpType=27&entry=102&position=44&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_44&from=from_esf_List_screen&index=44,189万,189.00,21000元/㎡,21000.00,2年内
46,fuzhou,仓山,sm广场旁 则徐大道 临地铁 交通便利 生活配套好 拎包入住,3 室 2 厅 2 卫,88.58㎡,88.58,南北,中层(共15层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4370612578835460?auction=221&hpType=27&entry=102&position=45&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_45&from=from_esf_List_screen&index=45,186万,186.00,20998元/㎡,20998.00,2年内
47,fuzhou,晋安,晋安区国企三房 次新小区 纯商品住宅 火车北站旁,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共27层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4618104354513930?auction=221&hpType=27&entry=102&position=46&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_46&from=from_esf_List_screen&index=46,187万,187.00,21012元/㎡,21012.00,2年内
48,fuzhou,晋安,楼下就是地铁口 1号线滨海快线双地铁  全新社区，超高得房率,3 室 2 厅 2 卫,88.25㎡,88.25,南北,中层(共26层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626548131671043?auction=221&hpType=27&entry=102&position=47&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_47&from=from_esf_List_screen&index=47,187万,187.00,21190元/㎡,21190.00,2年内
49,fuzhou,晋安,楼下就是地铁口 1号线滨海快线双地铁  全新社区，超高得房率,3 室 2 厅 2 卫,88.25㎡,88.25,南北,中层(共26层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626550343656451?auction=221&hpType=27&entry=102&position=48&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_48&from=from_esf_List_screen&index=48,188万,188.00,21304元/㎡,21304.00,2年内
50,fuzhou,台江,万宝商圈 商品房 宁化近地铁  三面彩光  电梯端头视野开阔,2 室 2 厅 1 卫,60㎡,60.00,南北,高层(共27层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4474062217735169?auction=221&hpType=27&entry=102&position=49&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_49&from=from_esf_List_screen&index=49,135万,135.00,22500元/㎡,22500.00,2年内
51,fuzhou,台江,望熙雅筑A区 3室1厅1卫,3 室 1 厅 1 卫,60㎡,60.00,南,低层(共27层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4608228660618252?auction=221&hpType=27&entry=102&position=50&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_50&from=from_esf_List_screen&index=50,135万,135.00,22500元/㎡,22500.00,2年内
52,fuzhou,台江,守正春江茗郡 2室2厅1卫,2 室 2 厅 1 卫,68.81㎡,68.81,南,低层(共27层),2024年建造,春江茗郡,台江 万宝 白马南路289号,https://fz.anjuke.com/prop/view/S4329258127010826?auction=221&hpType=27&entry=102&position=51&kwtype=filter&now_time=1782180237&spread=filtersearch_c&epauction=&stats_key=a42cb9f7-f5cb-4e5c-bc55-0fcaa77870c0_51&from=from_esf_List_screen&index=51,139万,139.00,20201元/㎡,20201.00,2年内
